date,market,stock_no,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,foreign_total_buy,foreign_total_sell,foreign_total_net,investment_trust_buy,investment_trust_sell,investment_trust_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,dealer_total_buy,dealer_total_sell,dealer_total_net,overall_net
2025-11-10,TPEX,00791B,復華信用債1-5,20000,50000,-30000,0,0,0,20000,50000,-30000,0,0,0,0,0,0,150000,120000,30000,150000,120000,30000,0
2025-11-10,TPEX,00792B,群益A級公司債,20000,5000,15000,0,0,0,20000,5000,15000,0,0,0,0,0,0,100000,104015,-4015,100000,104015,-4015,10985
2025-11-10,TPEX,00793B,群益AAA-A醫療債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,100011,-11,100000,100011,-11,-11
2025-11-10,TPEX,00795B,中信美國公債20年,1257100,1634000,-376900,0,0,0,1257100,1634000,-376900,0,0,0,0,0,0,2136244,744961,1391283,2136244,744961,1391283,1014383
2025-11-10,TPEX,00799B,國泰A級醫療債,8000,79000,-71000,0,0,0,8000,79000,-71000,0,0,0,0,0,0,299000,609476,-310476,299000,609476,-310476,-381476
2025-11-10,TPEX,00834B,第一金金融債10+,0,1000,-1000,0,0,0,0,1000,-1000,0,0,0,0,0,0,125000,125000,0,125000,125000,0,-1000
2025-11-10,TPEX,00836B,永豐10年A公司債,0,2000,-2000,0,0,0,0,2000,-2000,0,0,0,0,0,0,200000,200000,0,200000,200000,0,-2000
2025-11-10,TPEX,00840B,凱基IG精選15+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,100000,0,100000,100000,0,0
2025-11-10,TPEX,00841B,凱基AAA-AA公司債,0,39000,-39000,0,0,0,0,39000,-39000,0,0,0,0,0,0,100000,61000,39000,100000,61000,39000,0
2025-11-10,TPEX,00842B,台新美元銀行債,12000,0,12000,0,0,0,12000,0,12000,0,0,0,0,0,0,101000,22292,78708,101000,22292,78708,90708
2025-11-10,TPEX,00844B,新光15年IG金融債,0,5000,-5000,0,0,0,0,5000,-5000,0,0,0,0,0,0,0,0,0,0,0,0,-5000
2025-11-10,TPEX,00845B,富邦新興投等債,0,1000,-1000,0,0,0,0,1000,-1000,0,0,0,0,0,0,100100,100002,98,100100,100002,98,-902
2025-11-10,TPEX,00846B,富邦歐洲銀行債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,100227,-227,100000,100227,-227,-227
2025-11-10,TPEX,00847B,中信美國市政債,3000,0,3000,0,0,0,3000,0,3000,0,0,0,0,0,0,309000,326016,-17016,309000,326016,-17016,-14016
