date,market,stock_no,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,foreign_total_buy,foreign_total_sell,foreign_total_net,investment_trust_buy,investment_trust_sell,investment_trust_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,dealer_total_buy,dealer_total_sell,dealer_total_net,overall_net
2025-11-10,TWSE,2375,凱美,1915000,1375000,540000,0,0,0,1915000,1375000,540000,0,0,0,4000,8579,-4579,4397,27323,-22926,8397,35902,-27505,512495
2025-11-10,TWSE,2208,台船,792100,293143,498957,0,0,0,792100,293143,498957,2000,0,2000,9000,0,9000,0,0,0,9000,0,9000,509957
2025-11-10,TWSE,00952,凱基台灣AI50,73008,26000,47008,0,0,0,73008,26000,47008,0,0,0,0,0,0,1798200,1342211,455989,1798200,1342211,455989,502997
2025-11-10,TWSE,00646,元大S&P500,43304,63050,-19746,0,0,0,43304,63050,-19746,0,180000,-180000,0,0,0,802000,108842,693158,802000,108842,693158,493412
2025-11-10,TWSE,2501,國建,1414000,929883,484117,0,0,0,1414000,929883,484117,0,0,0,19000,5521,13479,2000,11000,-9000,21000,16521,4479,488596
2025-11-10,TWSE,2355,敬鵬,721000,208484,512516,0,0,0,721000,208484,512516,0,0,0,3000,16000,-13000,3302,16347,-13045,6302,32347,-26045,486471
2025-11-10,TWSE,2340,台亞,862000,361228,500772,0,0,0,862000,361228,500772,0,0,0,7000,2000,5000,356,21185,-20829,7356,23185,-15829,484943
2025-11-10,TWSE,1529,樂事綠能,549000,72000,477000,0,0,0,549000,72000,477000,0,0,0,5000,663,4337,0,0,0,5000,663,4337,481337
2025-11-10,TWSE,6869,雲豹能源,753100,276298,476802,0,0,0,753100,276298,476802,0,0,0,10973,7367,3606,0,2000,-2000,10973,9367,1606,478408
2025-11-10,TWSE,009811,統一美國50,5000,0,5000,0,0,0,5000,0,5000,0,0,0,0,0,0,2745000,2272501,472499,2745000,2272501,472499,477499
2025-11-10,TWSE,3062,建漢,1251000,753000,498000,0,0,0,1251000,753000,498000,0,0,0,3000,93,2907,0,23746,-23746,3000,23839,-20839,477161
2025-11-10,TWSE,00935,野村臺灣新科技50,38075,30000,8075,0,0,0,38075,30000,8075,0,0,0,0,0,0,1970606,1505889,464717,1970606,1505889,464717,472792
2025-11-10,TWSE,2354,鴻準,2271000,1826128,444872,0,0,0,2271000,1826128,444872,12137,0,12137,35000,42000,-7000,15000,16989,-1989,50000,58989,-8989,448020
2025-11-10,TWSE,2406,國碩,612000,143000,469000,0,0,0,612000,143000,469000,0,0,0,6000,4000,2000,0,25000,-25000,6000,29000,-23000,446000
2025-11-10,TWSE,2486,一詮,802000,406000,396000,0,0,0,802000,406000,396000,0,0,0,40000,20688,19312,27000,13,26987,67000,20701,46299,442299
2025-11-10,TWSE,3532,台勝科,751000,324000,427000,0,0,0,751000,324000,427000,0,0,0,15000,4000,11000,4600,3373,1227,19600,7373,12227,439227
2025-11-10,TWSE,2845,遠東銀,1521000,1132750,388250,0,0,0,1521000,1132750,388250,0,13000,-13000,59000,0,59000,0,0,0,59000,0,59000,434250
2025-11-10,TWSE,2347,聯強,3505000,3097539,407461,0,0,0,3505000,3097539,407461,3000,32000,-29000,25000,15191,9809,31375,1888,29487,56375,17079,39296,417757
2025-11-10,TWSE,00897,富邦基因免疫生技,190000,0,190000,0,0,0,190000,0,190000,0,0,0,0,0,0,425055,199091,225964,425055,199091,225964,415964
2025-11-10,TWSE,2388,威盛,646150,266000,380150,0,0,0,646150,266000,380150,0,0,0,84000,47591,36409,9625,11904,-2279,93625,59495,34130,414280
2025-11-10,TWSE,3703,欣陸,569000,171000,398000,0,0,0,569000,171000,398000,0,0,0,11000,2000,9000,0,0,0,11000,2000,9000,407000
2025-11-10,TWSE,4915,致伸,2061000,1011087,1049913,0,0,0,2061000,1011087,1049913,0,684000,-684000,38000,0,38000,4940,2164,2776,42940,2164,40776,406689
2025-11-10,TWSE,00899,FT潔淨能源,0,6000,-6000,0,0,0,0,6000,-6000,0,0,0,0,0,0,409213,355,408858,409213,355,408858,402858
2025-11-10,TWSE,6887,寶綠特-KY,1000,3000,-2000,0,0,0,1000,3000,-2000,0,0,0,0,0,0,400000,0,400000,400000,0,400000,398000
2025-11-10,TWSE,2485,兆赫,27000,37000,-10000,0,0,0,27000,37000,-10000,0,0,0,403990,6000,397990,0,0,0,403990,6000,397990,387990
